timestamp,symbol,action,entry_price,exit_price,amount,pnl_usdt
2026-09-09 09:46:43.453940,WIF/USDT,TAKE PROFIT,0.215,0.2159,23.25581395348837,0.020930232558139812
2026-09-09 09:46:52.684972,DOGS/USDT,TAKE PROFIT,4.881e-05,4.899e-05,102438.0249948781,0.018438844499077536
2026-09-09 09:47:49.796274,DOGS/USDT,TAKE PROFIT,4.899e-05,4.898e-05,102061.64523372118,-0.0010206164523366833
2026-09-09 09:48:00.746856,TURBO/USDT,TAKE PROFIT,0.001014,0.001015,4930.966469428008,0.004930966469428663
2026-09-09 09:48:56.601957,WIF/USDT,TAKE PROFIT,0.2156,0.2156,23.191094619666046,0.0
2026-09-09 09:49:14.175212,CATI/USDT,TAKE PROFIT,0.06184,0.06197,80.85381630012937,0.01051099611901667
2026-09-09 09:50:02.979896,WIF/USDT,TAKE PROFIT,0.2154,0.2156,23.212627669452182,0.0046425255338905696
2026-09-09 09:51:09.443546,WIF/USDT,TAKE PROFIT,0.2156,0.2158,23.191094619666046,0.004638218923932698
2026-09-09 09:52:15.851988,WIF/USDT,TAKE PROFIT,0.2158,0.2159,23.169601482854496,0.0023169601482858375
2026-09-09 09:56:40.833261,WIF/USDT,TAKE PROFIT,0.2158,0.2158,23.169601482854496,0.0
2026-09-09 09:57:46.844959,TURBO/USDT,TAKE PROFIT,0.001016,0.001018,4921.259842519685,0.00984251968503961
2026-09-09 09:58:53.206735,TURBO/USDT,TAKE PROFIT,0.001018,0.001018,4911.591355599214,0.0
2026-09-09 10:05:30.646758,WIF/USDT,TAKE PROFIT,0.2159,0.2155,23.158869847151458,-0.009263547938860849
2026-09-09 10:06:36.920422,WIF/USDT,TAKE PROFIT,0.2155,0.2159,23.20185614849188,0.009280742459397019
2026-09-09 10:07:43.088452,WIF/USDT,TAKE PROFIT,0.2159,0.2158,23.158869847151458,-0.0023158869847155336
2026-09-09 10:08:48.973549,WIF/USDT,TAKE PROFIT,0.2158,0.2158,23.169601482854496,0.0
2026-09-09 10:09:56.089039,DOGS/USDT,TAKE PROFIT,4.973e-05,4.976e-05,100542.93183189222,0.0030162879549565673
2026-09-09 10:11:02.677337,DOGS/USDT,TAKE PROFIT,4.976e-05,4.952e-05,100482.3151125402,-0.024115755627009416
2026-09-09 10:12:09.249859,DOGS/USDT,TAKE PROFIT,4.952e-05,4.938e-05,100969.30533117932,-0.014135702746365312
