timestamp,open,high,low,close,volume
2026-09-09 06:00:00,0.1374,0.1374,0.1363,0.1363,863.1
2026-09-09 07:00:00,0.1363,0.1374,0.1363,0.137,41157.3
2026-09-09 08:00:00,0.1367,0.1379,0.1367,0.1376,11782.5
2026-09-09 09:00:00,0.1369,0.1369,0.1369,0.1369,3684.0
2026-09-09 10:00:00,0.1374,0.1374,0.1364,0.1364,8825.5
2026-09-09 11:00:00,0.1362,0.1362,0.1357,0.136,4548.0
2026-09-09 12:00:00,0.1371,0.1371,0.1367,0.137,4413.7
2026-09-09 13:00:00,0.1373,0.1373,0.1357,0.1357,11788.2
2026-09-09 14:00:00,0.1357,0.1357,0.1357,0.1357,3684.0
2026-09-09 15:00:00,0.1343,0.1353,0.1333,0.1352,4980.2
2026-09-09 16:00:00,0.1355,0.1368,0.135,0.1368,8848.2
2026-09-09 17:00:00,0.1366,0.1366,0.1366,0.1366,3684.0
2026-09-09 18:00:00,0.1367,0.1367,0.1363,0.1363,13656.8
2026-09-09 19:00:00,0.1363,0.1363,0.1363,0.1363,0.0
2026-09-09 20:00:00,0.1363,0.1363,0.1363,0.1363,0.0
2026-09-09 21:00:00,0.1363,0.1363,0.1363,0.1363,0.0
2026-09-09 22:00:00,0.1313,0.132,0.1312,0.132,14736.0
2026-09-09 23:00:00,0.1329,0.1329,0.1329,0.1329,907.6
2026-09-10 00:00:00,0.1332,0.1332,0.1327,0.1327,7368.0
2026-09-10 01:00:00,0.1317,0.1317,0.1316,0.1316,759.2
2026-09-10 02:00:00,0.1316,0.1316,0.1316,0.1316,0.0
2026-09-10 03:00:00,0.1345,0.1345,0.1344,0.1344,148.7
2026-09-10 04:00:00,0.1342,0.1342,0.1323,0.1323,14736.0
2026-09-10 05:00:00,0.1324,0.133,0.1324,0.1329,7367.9
2026-09-10 06:00:00,0.1317,0.1317,0.1317,0.1317,3684.0
2026-09-10 07:00:00,0.1321,0.1321,0.1317,0.1318,27993.6
2026-09-10 08:00:00,0.1314,0.1314,0.1314,0.1314,761.0
2026-09-10 09:00:00,0.13,0.1304,0.13,0.1303,22203.2
2026-09-10 10:00:00,0.1298,0.1298,0.1298,0.1298,3684.0
2026-09-10 11:00:00,0.1298,0.1298,0.1298,0.1298,0.0
2026-09-10 12:00:00,0.1293,0.1293,0.1286,0.1286,1596.1
2026-09-10 13:00:00,0.129,0.129,0.1285,0.1285,1544.8
