timestamp,open,high,low,close,volume
2026-09-09 06:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,270271.0
2026-09-09 07:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 08:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 09:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 10:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 11:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 12:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 13:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 14:00:00,3.7e-06,3.7e-06,3.7e-06,3.7e-06,0.0
2026-09-09 15:00:00,3.64e-06,3.64e-06,3.57e-06,3.57e-06,20791112.0
2026-09-09 16:00:00,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0
2026-09-09 17:00:00,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0
2026-09-09 18:00:00,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0
2026-09-09 19:00:00,3.55e-06,3.55e-06,3.55e-06,3.55e-06,4222972.0
2026-09-09 20:00:00,3.53e-06,3.53e-06,3.52e-06,3.52e-06,8512507.0
2026-09-09 21:00:00,3.52e-06,3.52e-06,3.52e-06,3.52e-06,0.0
2026-09-09 22:00:00,3.44e-06,3.44e-06,3.44e-06,3.44e-06,125753055.0
2026-09-09 23:00:00,3.49e-06,5.25e-06,3.47e-06,5.25e-06,91115486.0
2026-09-10 00:00:00,5.25e-06,5.25e-06,3.47e-06,3.47e-06,3536572564.0
2026-09-10 01:00:00,3.47e-06,3.48e-06,3.47e-06,3.47e-06,6741087237.0
2026-09-10 02:00:00,3.47e-06,3.47e-06,3.47e-06,3.47e-06,5622209193.0
2026-09-10 03:00:00,3.47e-06,3.47e-06,3.47e-06,3.47e-06,466089844.0
2026-09-10 04:00:00,5.25e-06,5.25e-06,3.47e-06,3.47e-06,58910081.0
2026-09-10 05:00:00,3.47e-06,3.47e-06,3.47e-06,3.47e-06,0.0
2026-09-10 06:00:00,3.47e-06,3.47e-06,3.47e-06,3.47e-06,0.0
2026-09-10 07:00:00,3.47e-06,5.2e-06,3.45e-06,3.45e-06,55708940.0
2026-09-10 08:00:00,3.45e-06,3.45e-06,3.45e-06,3.45e-06,0.0
2026-09-10 09:00:00,3.44e-06,3.44e-06,3.44e-06,3.44e-06,2411855102.0
2026-09-10 10:00:00,3.44e-06,3.44e-06,3.44e-06,3.44e-06,8239886605.0
2026-09-10 11:00:00,3.44e-06,3.44e-06,3.44e-06,3.44e-06,5396504336.0
2026-09-10 12:00:00,3.44e-06,3.44e-06,3.44e-06,3.44e-06,7760658176.0
2026-09-10 13:00:00,3.44e-06,3.44e-06,3.44e-06,3.44e-06,3092624797.0
