timestamp,open,high,low,close,volume
2026-09-09 06:00:00,0.216,0.2163,0.216,0.2162,3774.87
2026-09-09 07:00:00,0.2163,0.2175,0.2163,0.2175,56482.62
2026-09-09 08:00:00,0.2184,0.2192,0.218,0.218,10825.31
2026-09-09 09:00:00,0.2173,0.2173,0.2132,0.2133,5536.0
2026-09-09 10:00:00,0.2132,0.2143,0.2132,0.2143,7435.71
2026-09-09 11:00:00,0.2134,0.2146,0.2123,0.2146,3801.66
2026-09-09 12:00:00,0.2148,0.216,0.2148,0.2159,3554.79
2026-09-09 13:00:00,0.2155,0.2159,0.2151,0.2158,5063.56
2026-09-09 14:00:00,0.2131,0.2151,0.2129,0.2133,6540.74
2026-09-09 15:00:00,0.2134,0.214,0.2079,0.2095,8350.54
2026-09-09 16:00:00,0.2093,0.2109,0.2088,0.2109,6437.53
2026-09-09 17:00:00,0.2123,0.2135,0.2121,0.2133,5589.13
2026-09-09 18:00:00,0.213,0.2148,0.2125,0.2136,9042.14
2026-09-09 19:00:00,0.2138,0.2138,0.2085,0.2085,1674.46
2026-09-09 20:00:00,0.2091,0.2091,0.2069,0.2088,716.82
2026-09-09 21:00:00,0.209,0.209,0.2074,0.2074,1871.49
2026-09-09 22:00:00,0.2072,0.2072,0.2025,0.2026,18261.03
2026-09-09 23:00:00,0.2035,0.2048,0.2034,0.2046,1589.93
2026-09-10 00:00:00,0.2046,0.2048,0.2003,0.2005,7063.13
2026-09-10 01:00:00,0.2004,0.2022,0.1997,0.1998,8944.0
2026-09-10 02:00:00,0.1998,0.1998,0.1998,0.1998,0.0
2026-09-10 03:00:00,0.2036,0.2036,0.2035,0.2036,515.96
2026-09-10 04:00:00,0.2029,0.203,0.2018,0.2018,5142.03
2026-09-10 05:00:00,0.2016,0.2027,0.2007,0.2024,11272.9
2026-09-10 06:00:00,0.2024,0.2024,0.2004,0.2005,32384.79
2026-09-10 07:00:00,0.2003,0.2004,0.1981,0.1986,31626.84
2026-09-10 08:00:00,0.1993,0.1995,0.1989,0.1993,37175.28
2026-09-10 09:00:00,0.1995,0.1995,0.1978,0.1981,18223.75
2026-09-10 10:00:00,0.1989,0.1991,0.1988,0.1991,30745.92
2026-09-10 11:00:00,0.1997,0.1997,0.1989,0.1989,702.5
2026-09-10 12:00:00,0.1991,0.1992,0.195,0.195,42794.56
2026-09-10 13:00:00,0.1961,0.1961,0.1961,0.1961,1484.37
