timestamp,open,high,low,close,volume
2026-09-09 06:00:00,0.0504,0.0504,0.0502,0.0502,2255.1
2026-09-09 07:00:00,0.0502,0.0504,0.0502,0.0503,99352.8
2026-09-09 08:00:00,0.0504,0.0507,0.0504,0.0506,41716.6
2026-09-09 09:00:00,0.0501,0.0501,0.0501,0.0501,9960.0
2026-09-09 10:00:00,0.05,0.05,0.05,0.05,19910.0
2026-09-09 11:00:00,0.0498,0.0505,0.0498,0.0505,24590.6
2026-09-09 12:00:00,0.0504,0.0509,0.0502,0.0508,17271.1
2026-09-09 13:00:00,0.0509,0.0509,0.0506,0.0506,23860.6
2026-09-09 14:00:00,0.0508,0.0508,0.0505,0.0505,11928.4
2026-09-09 15:00:00,0.0495,0.05,0.0493,0.05,15182.8
2026-09-09 16:00:00,0.0498,0.0507,0.0497,0.0507,23521.6
2026-09-09 17:00:00,0.0505,0.0505,0.0505,0.0505,9960.0
2026-09-09 18:00:00,0.0504,0.0507,0.0503,0.0506,32847.6
2026-09-09 19:00:00,0.0501,0.0504,0.0499,0.0501,1994.4
2026-09-09 20:00:00,0.0502,0.0503,0.0495,0.05,2402.0
2026-09-09 21:00:00,0.05,0.05,0.0485,0.0485,8203.2
2026-09-09 22:00:00,0.0478,0.0478,0.0477,0.0477,19920.0
2026-09-09 23:00:00,0.0477,0.0477,0.0477,0.0477,0.0
2026-09-10 00:00:00,0.0481,0.0481,0.0476,0.0476,20129.6
2026-09-10 01:00:00,0.0476,0.0476,0.0476,0.0476,0.0
2026-09-10 02:00:00,0.0476,0.0476,0.0476,0.0476,0.0
2026-09-10 03:00:00,0.0478,0.0478,0.0476,0.0476,2385.1
2026-09-10 04:00:00,0.0477,0.0477,0.0477,0.0477,9960.0
2026-09-10 05:00:00,0.0476,0.0481,0.0475,0.048,51883.0
2026-09-10 06:00:00,0.0477,0.048,0.0475,0.048,581519.9
2026-09-10 07:00:00,0.0476,0.0476,0.0473,0.0473,37964.1
2026-09-10 08:00:00,0.0472,0.0474,0.0472,0.0472,22034.0
2026-09-10 09:00:00,0.0475,0.0475,0.0468,0.0471,14192.5
2026-09-10 10:00:00,0.0469,0.0469,0.0469,0.0469,9960.0
2026-09-10 11:00:00,0.0472,0.0472,0.0472,0.0472,1059.3
2026-09-10 12:00:00,0.0464,0.0464,0.046,0.046,504.9
2026-09-10 13:00:00,0.046,0.046,0.046,0.046,0.0
